titre;nationalité;sortie;entrées (millions)
LES INDESTRUCTIBLES 2;US;04/07/2018;5737042
LES TUCHE 3;FR;31/01/2018;5685341
CHTITE FAMILLE (LA);FR;28/02/2018;5619983
AVENGERS : INFINITY WAR;US;25/04/2018;5044833
GRAND BAIN (LE);FR;24/10/2018;4205397
ANIMAUX FANTASTIQUES (LES) : LES CRIMES DE GRINDELWALD;GB;14/11/2018;3855470
BOHEMIAN RHAPSODY;GB;31/10/2018;3722418
TAXI 5;FR;11/04/2018;3650550
JURASSIC WORLD FALLEN KINGDOM;US;06/06/2018;3633701
BLACK PANTHER;US;14/02/2018;3621869
HOTEL TRANSYLVANIE 3 : DES VACANCES MONSTRUEUSES;US;25/07/2018;3073504
MISSION IMPOSSIBLE FALL OUT;US;01/08/2018;3017843
ASTERIX ET LE SECRET DE LA POTION MAGIQUE;FR;05/12/2018;2889583
LE LABYRINTHE: LE REMEDE MORTEL;US;07/02/2018;2851683
CINQUANTE NUANCES PLUS CLAIRES;US;07/02/2018;2764015
DEADPOOL 2;US;16/05/2018;2603773
TOUT LE MONDE DEBOUT;FR;14/03/2018;2417997
ALAD 2;FR;03/10/2018;2346564
VENOM;US;10/10/2018;2279269
READY PLAYER ONE;GB;28/03/2018;2278316
LE GRINCH;US;28/11/2018;2051025
JUMANJI BIENVENUE DANS LA JUNGLE;US;20/12/2017;2000330
AQUAMAN;US;19/12/2018;1901039
A STAR IS BORN;US;03/10/2018;1878526
YETI ET COMPAGNIE;US;17/10/2018;1845860
ANT-MAN ET LA GUEPE;US;18/07/2018;1804606
PIERRE LAPIN;US;04/04/2018;1735472
STAR WARS LES DERNIERS JEDI;US;13/12/2017;1730411
BELLE ET SEBASTIEN 3, LE DERNIER CHAPITRE;FR;14/02/2018;1683327
EN EAUX TROUBLES;US;22/08/2018;1618794
JEU (LE);FR;17/10/2018;1588663
FERDINAND;US;20/12/2017;1420634
LA NONNE;US;19/09/2018;1385206
LA FORME DE L'EAU;US;21/02/2018;1382572
SOLO : A STAR WARS STORY;US;23/05/2018;1373990
COCO;US;29/11/2017;1347093
PENTAGON PAPERS;US;24/01/2018;1338337
BLACKKKLANSMAN;US;22/08/2018;1310537
TOMB RAIDER;GB;14/03/2018;1264668
NEUILLY SA MERE, SA MERE;FR;08/08/2018;1146585
AMERICAN NIGHTMARE 4 LES ORIGINES;US;04/07/2018;1030240
PREMIERE ANNEE;FR;12/09/2018;1013813
MOI MOCHE ET MECHANT 3;US;05/07/2017;5741462
STAR WARS LES DERNIERS JEDI;US;13/12/2017;5349638
RAID DINGUE;FR;01/02/2017;4562777
VALERIAN ET LA CITE DES MILLE PLANETES;FR;26/07/2017;4041056
BABY BOSS;US;29/03/2017;3871638
FAST AND FURIOUS 8;US;12/04/2017;3869251
TOUS EN SCENE;US;25/01/2017;3606379
ALIBI.COM;FR;15/02/2017;3600764
PIRATES DES CARAIBES: LA VENGEANCE DE SALAZAR;US;24/05/2017;3593093
